,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3163,0.0,0.0,1.0,1.0,0.0,1.0,7.0,23.0,71.0,138.0,137.0,97.0,76.0,75.0,64.0,57.0,86.0,135.0
3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,6.0,1.0,2.0,1.0,2.0
3165,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,73.0,165.0,170.0,96.0,109.0,119.0,63.0,54.0,82.0,169.0
3166,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,58.0,152.0,113.0,119.0,77.0,99.0,78.0,53.0,50.0,128.0
3167,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,23.0,67.0,68.0,67.0,48.0,45.0,39.0,15.0,29.0,84.0
3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,82.0,71.0,58.0,42.0,51.0,33.0,19.0,30.0,83.0
3169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,39.0,132.0,149.0,109.0,79.0,83.0,47.0,40.0,72.0,191.0
3170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,70.0,192.0,164.0,109.0,86.0,101.0,69.0,68.0,75.0,193.0
3171,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,107.0,159.0,197.0,187.0,100.0,84.0,48.0,38.0,58.0,170.0
3172,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,57.0,171.0,213.0,187.0,127.0,127.0,73.0,60.0,82.0,217.0
3173,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,156.0,298.0,305.0,253.0,166.0,217.0,152.0,109.0,178.0,425.0
3174,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,78.0,220.0,289.0,227.0,167.0,167.0,105.0,71.0,108.0,270.0
3175,0.0,0.0,0.0,2.0,0.0,1.0,2.0,12.0,147.0,315.0,397.0,251.0,223.0,251.0,159.0,156.0,232.0,470.0
3176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3177,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,32.0,76.0,96.0,70.0,46.0,46.0,32.0,27.0,37.0,63.0
3178,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,391.0,408.0,408.0,284.0,210.0,212.0,166.0,131.0,176.0,347.0
3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,62.0,74.0,49.0,44.0,45.0,20.0,27.0,30.0,61.0
3180,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,68.0,124.0,78.0,50.0,36.0,45.0,36.0,29.0,41.0,72.0
3181,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,20.0,29.0,21.0,15.0,16.0,19.0,25.0,26.0,49.0,43.0
3182,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,12.0,20.0,17.0,21.0,20.0,28.0,44.0,18.0,56.0,29.0
3183,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,23.0,32.0,26.0,32.0,17.0,39.0,17.0,31.0,44.0,50.0
3184,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,24.0,36.0,38.0,12.0,15.0,35.0,36.0,32.0,55.0,36.0
3185,0.0,0.0,1.0,1.0,0.0,1.0,7.0,8.0,15.0,44.0,40.0,35.0,23.0,47.0,21.0,28.0,35.0,41.0
3186,0.0,0.0,2.0,0.0,1.0,6.0,8.0,9.0,45.0,114.0,67.0,74.0,58.0,80.0,61.0,70.0,73.0,123.0
