,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
132,3153,2001,295132364.0,6419.0,7358.0,0.0,40110.40554498505,0.0
133,3154,2001,81276438.0,1351.0,1355.0,0.0,59982.6110701107,0.0
134,3155,2001,339913354.0,7501.0,8151.0,0.0,41702.04318488529,0.0
135,3156,2001,615305691.0,11272.0,12051.0,0.0,51058.47572815534,0.0
136,3158,2001,127530342.0,2229.0,2281.0,0.0,55909.838667251206,0.0
137,3159,2001,45357857.0,1449.0,1455.0,0.0,31173.784879725084,0.0
138,3160,2001,162558171.0,3144.0,3282.0,0.0,49530.21663619744,0.0
139,3161,2001,328971247.0,4057.0,6055.0,0.0,54330.51147811726,0.0
140,3162,2001,414324266.0,5487.0,6481.0,0.0,63929.064341922545,0.0
141,3163,2001,528783794.0,6131.0,12459.0,0.0,42441.91299462236,0.0
142,3164,2001,4224129.0,,,0.0,,
143,3165,2001,391152769.0,8762.0,9772.0,0.0,40027.91332378223,0.0
144,3166,2001,319389906.0,6701.0,8146.0,0.0,39208.18880432114,0.0
145,3167,2001,167989568.0,3362.0,3335.0,0.0,50371.68455772114,0.0
146,3168,2001,212837433.0,3396.0,5672.0,0.0,37524.23007757405,0.0
147,3169,2001,231478273.0,5140.0,6276.0,0.0,36883.09002549395,0.0
148,3170,2001,323133389.0,5511.0,5405.0,0.0,59784.16077705828,0.0
149,3171,2001,207191519.0,4362.0,6633.0,0.0,31236.47203377054,0.0
150,3172,2001,352461770.0,6768.0,7498.0,0.0,47007.43798346226,0.0
151,3173,2001,246711790.0,5069.0,5131.0,0.0,48082.594036250244,0.0
152,3174,2001,430987480.0,9988.0,12858.0,0.0,33519.01384352154,0.0
153,3175,2001,564432437.0,13290.0,16323.0,0.0,34578.96446731606,0.0
154,3176,2001,2989467.0,,,0.0,,
155,3177,2001,103622159.0,3282.0,3686.0,0.0,28112.360010851873,0.0
156,3178,2001,610142134.0,10597.0,10744.0,0.0,56789.10405807893,0.0
157,3179,2001,109040049.0,2024.0,2058.0,0.0,52983.50291545189,0.0
158,3180,2001,128021966.0,2080.0,2122.0,0.0,60330.80395852969,0.0
159,3181,2001,420533376.0,4258.0,8519.0,0.0,49364.17138161756,0.0
160,3182,2001,499336652.0,2536.0,11444.0,0.0,43633.05242922055,0.0
161,3183,2001,307985261.0,2935.0,8907.0,0.0,34577.88941282138,0.0
162,3184,2001,366077752.0,2509.0,7617.0,0.0,48060.621241958775,0.0
163,3185,2001,287560837.0,3419.0,5451.0,0.0,52753.77673821317,0.0
164,3186,2001,922044122.0,6946.0,8447.0,0.0,109156.40132591453,0.0
165,3187,2001,372680624.0,5277.0,6231.0,0.0,59810.72444230461,0.0
166,3188,2001,360407781.0,4784.0,6576.0,0.0,54806.536040145984,0.0
167,3189,2001,131770086.0,1792.0,1998.0,0.0,65950.993993994,0.0
168,3190,2001,157066508.0,2817.0,4072.0,0.0,38572.32514734774,0.0
169,3191,2001,245056475.0,3000.0,3443.0,0.0,71175.2759221609,0.0
170,3192,2001,360933057.0,6913.0,8394.0,0.0,42998.9345961401,0.0
171,3193,2001,522455807.0,6483.0,7394.0,0.0,70659.4275087909,0.0
172,3194,2001,314711763.0,3577.0,5099.0,0.0,61720.29084134144,0.0
173,3195,2001,477535050.0,9287.0,11571.0,0.0,41269.98962924553,0.0
174,3196,2001,337404884.0,8011.0,9504.0,0.0,35501.35563973064,0.0
175,3197,2001,226978771.0,4271.0,4513.0,0.0,50294.43186350543,0.0
176,3198,2001,228004214.0,6023.0,7209.0,0.0,31627.717297822168,0.0
177,3199,2001,824598494.0,19936.0,22007.0,0.0,37469.82750942882,0.0
178,3200,2001,62889082.0,2459.0,2426.0,0.0,25922.952184666115,0.0
179,3201,2001,228375728.0,5094.0,5456.0,0.0,41857.72140762463,0.0
180,3202,2001,25331044.0,836.0,921.0,0.0,27503.84799131379,0.0
181,3204,2001,493878070.0,8449.0,10610.0,0.0,46548.35721017908,0.0
182,3205,2001,239683098.0,2231.0,4750.0,0.0,50459.59957894737,0.0
183,3206,2001,359768345.0,3828.0,5023.0,0.0,71624.19769062313,0.0
184,3207,2001,379777538.0,3911.0,6158.0,0.0,61672.2211757064,0.0
185,3211,2001,23449530.0,71.0,78.0,0.0,300635.0,0.0
186,3212,2001,209219856.0,4085.0,4404.0,0.0,47506.77929155313,0.0
187,3214,2001,246534885.0,8914.0,9664.0,0.0,25510.646212748343,0.0
188,3215,2001,275945721.0,6738.0,7777.0,0.0,35482.28378552141,0.0
189,3216,2001,751621654.0,16903.0,18208.0,0.0,41279.748132688925,0.0
190,3218,2001,186344449.0,4635.0,5932.0,0.0,31413.427006068778,0.0
191,3219,2001,257973267.0,7333.0,8326.0,1.0,30984.058011049725,0.00013636983499249966
192,3220,2001,341686804.0,5624.0,6676.0,0.0,51181.36668663871,0.0
193,3221,2001,128608679.0,2238.0,2466.0,0.0,52152.74898621249,0.0
194,3222,2001,157635745.0,3530.0,3984.0,0.0,39567.205070281125,0.0
195,3223,2001,59554061.0,4414.0,4631.0,0.0,12859.870654286331,0.0
196,3224,2001,135694624.0,2671.0,2516.0,0.0,53932.68044515103,0.0
197,3225,2001,69686766.0,2869.0,3038.0,0.0,22938.369321922317,0.0
198,3226,2001,179904318.0,4907.0,5040.0,0.0,35695.30119047619,0.0
199,3227,2001,56022383.0,1448.0,1654.0,0.0,33870.84824667473,0.0
200,3228,2001,177539606.0,4639.0,4567.0,0.0,38874.44843442085,0.0
201,3230,2001,35492940.0,2619.0,2670.0,0.0,13293.23595505618,0.0
202,3231,2001,16288958.0,1061.0,1112.0,0.0,14648.343525179856,0.0
203,3232,2001,19113562.0,1315.0,1450.0,0.0,13181.766896551724,0.0
204,3233,2001,26656427.0,2095.0,2298.0,0.0,11599.83768494343,0.0
205,3235,2001,3251486.0,663.0,679.0,0.0,4788.639175257732,0.0
206,3236,2001,2971040.0,27.0,38.0,0.0,78185.26315789473,0.0
207,3237,2001,2162192.0,,,0.0,,
208,3238,2001,3713186.0,193.0,195.0,0.0,19041.979487179487,0.0
209,3239,2001,7531310.0,426.0,414.0,0.0,18191.57004830918,0.0
210,3240,2001,28349954.0,74.0,85.0,0.0,333528.87058823527,0.0
211,3241,2001,30326804.0,826.0,921.0,0.0,32928.12595005429,0.0
212,3242,2001,15960779.0,269.0,263.0,0.0,60687.37262357414,0.0
213,3243,2001,4562908.0,0.0,0.0,0.0,inf,
214,3249,2001,74027516.0,2259.0,2280.0,0.0,32468.208771929825,0.0
215,3250,2001,139448678.0,4293.0,4656.0,0.0,29950.31743986254,0.0
216,3251,2001,7244950.0,0.0,0.0,0.0,inf,
217,3254,2001,4289073.0,,,0.0,,
218,3260,2001,68443785.0,2375.0,2450.0,0.0,27936.238775510203,0.0
219,3264,2001,48531235.0,941.0,981.0,0.0,49471.1875637105,0.0
220,3265,2001,29549398.0,469.0,516.0,0.0,57266.27519379845,0.0
221,3266,2001,53404639.0,1408.0,1516.0,0.0,35227.334432717675,0.0
222,3267,2001,6871730.0,,,0.0,,
223,3268,2001,54818082.0,1440.0,1487.0,0.0,36864.883658372564,0.0
224,3269,2001,11778781.0,428.0,517.0,0.0,22782.941972920697,0.0
225,3270,2001,2850911.0,244.0,269.0,0.0,10598.18215613383,0.0
226,3271,2001,3643776.0,,,0.0,,
227,3272,2001,22962446.0,644.0,642.0,0.0,35767.04984423676,0.0
228,3274,2001,5900134.0,236.0,236.0,0.0,25000.56779661017,0.0
229,3275,2001,3303877.0,355.0,356.0,0.0,9280.553370786516,0.0
230,3276,2001,5064919.0,327.0,331.0,0.0,15301.87009063444,0.0
231,3277,2001,31243487.0,517.0,499.0,0.0,62612.19839679359,0.0
232,3279,2001,5793255.0,,,0.0,,
