,postcode,year,viable_buildings,total_buildings,total_income,num_installs,average_income,install_percent
282,3373,2001,950,961,23989011.0,1.0,24962.550468262227,0.0010526315789473684
283,3375,2001,51,51,4457054.0,0.0,87393.2156862745,0.0
284,3377,2001,4253,4491,127212862.0,0.0,28326.17724337564,0.0
285,3379,2001,586,599,16143578.0,0.0,26950.881469115193,0.0
286,3380,2001,2241,2600,109009012.0,0.0,41926.54307692307,0.0
287,3381,2001,1920,1922,10081199.0,0.0,5245.160770031218,0.0
288,3384,2001,79,90,3427342.0,0.0,38081.57777777778,0.0
289,3387,2001,37,35,3195432.0,0.0,91298.05714285714,0.0
290,3388,2001,296,303,13423883.0,0.0,44303.244224422444,0.0
291,3390,2001,476,518,18143917.0,0.0,35026.8667953668,0.0
292,3391,2001,8,8,4332976.0,0.0,541622.0,0.0
293,3392,2001,130,133,11544611.0,0.0,86801.58646616542,0.0
294,3393,2001,1361,1394,49847674.0,0.0,35758.7331420373,0.0
295,3395,2001,130,130,10919861.0,0.0,83998.93076923076,0.0
296,3396,2001,274,283,16231049.0,0.0,57353.53003533569,0.0
297,3400,2001,4853,5606,187029379.0,0.0,33362.35800927578,0.0
298,3401,2001,1857,1863,72747443.0,0.0,39048.54696725711,0.0
299,3407,2001,356,368,9001083.0,0.0,24459.464673913044,0.0
300,3409,2001,482,515,10134922.0,0.0,19679.460194174757,0.0
301,3412,2001,133,143,9666296.0,0.0,67596.47552447552,0.0
302,3413,2001,0,0,,0.0,,
303,3414,2001,883,860,26892755.0,0.0,31270.64534883721,0.0
304,3418,2001,1364,1486,57756243.0,0.0,38866.9199192463,0.0
305,3419,2001,437,464,26306723.0,0.0,56695.52370689655,0.0
306,3420,2001,192,220,,0.0,,0.0
307,3423,2001,274,312,6878468.0,0.0,22046.371794871793,0.0
308,3424,2001,545,566,16873049.0,0.0,29811.040636042402,0.0
309,3427,2001,829,837,36739618.0,0.0,43894.406212664275,0.0
310,3428,2001,15,10,14623086.0,0.0,1462308.6,0.0
311,3429,2001,10343,10251,507383766.0,0.0,49496.02633889377,0.0
312,3431,2001,714,670,58137686.0,0.0,86772.6656716418,0.0
313,3434,2001,1944,2012,67795623.0,0.0,33695.63767395626,0.0
314,3435,2001,701,736,34339514.0,0.0,46656.948369565216,0.0
315,3437,2001,2236,2354,149033461.0,0.0,63310.7310960068,0.0
316,3438,2001,378,375,28963741.0,0.0,77236.64266666667,0.0
317,3440,2001,642,670,36620903.0,0.0,54658.064179104476,0.0
318,3441,2001,809,818,38203807.0,0.0,46703.92053789731,0.0
