Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n
133,3154,2001,81276438.0,1351.0,1355.0,0.0,59982.6110701107,0.0,0.0,1505.5,0.0,0.0,0.0,0.010308528730734049
134,3155,2001,339913354.0,7501.0,8151.0,0.0,41702.04318488529,0.0,0.0,8370.722222222223,0.0,0.0,0.0,0.00690277675272715
135,3156,2001,615305691.0,11272.0,12051.0,0.0,51058.47572815534,0.0,0.0,12721.055555555555,0.0,0.0,0.0,0.008645922197737332
136,3158,2001,127530342.0,2229.0,2281.0,0.0,55909.838667251206,0.0,0.0,2459.722222222222,0.0,0.0,0.0,0.009549752922777818
137,3159,2001,45357857.0,1449.0,1455.0,0.0,31173.784879725084,0.0,0.0,1085.8333333333333,0.0,0.0,0.0,0.0049413149002894745
138,3160,2001,162558171.0,3144.0,3282.0,0.0,49530.21663619744,0.0,0.0,3308.277777777778,0.0,0.0,0.0,0.008361200658558601
139,3161,2001,328971247.0,4057.0,6055.0,0.0,54330.51147811726,0.0,0.0,4129.611111111111,0.0,0.0,0.0,0.009255517167516613
140,3162,2001,414324266.0,5487.0,6481.0,0.0,63929.06434192255,0.0,0.0,5619.666666666667,0.0,0.0,0.0,0.011043770716703637
141,3163,2001,528783794.0,6131.0,12459.0,0.0,42441.91299462236,0.0,0.0,7904.555555555556,0.0,0.0,0.0,0.007040617824394085
142,3164,2001,4224129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,3165,2001,391152769.0,8762.0,9772.0,0.0,40027.91332378223,0.0,0.0,9288.055555555555,0.0,0.0,0.0,0.006590878833489077
144,3166,2001,319389906.0,6701.0,8146.0,0.0,39208.18880432114,0.0,0.0,7286.555555555556,0.0,0.0,0.0,0.006438160470410667
145,3167,2001,167989568.0,3362.0,3335.0,0.0,50371.68455772114,0.0,0.0,3359.6111111111113,0.0,0.0,0.0,0.008517969915189568
146,3168,2001,212837433.0,3396.0,5672.0,0.0,37524.23007757405,0.0,0.0,4732.277777777777,0.0,0.0,0.0,0.006124431389317071
147,3169,2001,231478273.0,5140.0,6276.0,0.0,36883.09002549395,0.0,0.0,6095.833333333333,0.0,0.0,0.0,0.006004984115345017
148,3170,2001,323133389.0,5511.0,5405.0,0.0,59784.16077705828,0.0,0.0,6413.444444444444,0.0,0.0,0.0,0.010271556548997529
149,3171,2001,207191519.0,4362.0,6633.0,0.0,31236.47203377054,0.0,0.0,5603.222222222223,0.0,0.0,0.0,0.004952993798900632
150,3172,2001,352461770.0,6768.0,7498.0,0.0,47007.43798346226,0.0,0.0,7272.944444444444,0.0,0.0,0.0,0.007891195654306488
151,3173,2001,246711790.0,5069.0,5131.0,0.0,48082.59403625024,0.0,0.0,6577.777777777777,0.0,0.0,0.0,0.008091502060345887
152,3174,2001,430987480.0,9988.0,12858.0,0.0,33519.01384352154,0.0,0.0,10698.5,0.0,0.0,0.0,0.005378241599310913
153,3175,2001,564432437.0,13290.0,16323.0,0.0,34578.96446731606,0.0,0.0,14018.944444444445,0.0,0.0,0.0,0.005575715165572244
154,3176,2001,2989467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,3177,2001,103622159.0,3282.0,3686.0,0.0,28112.360010851877,0.0,0.0,3618.722222222222,0.0,0.0,0.0,0.0043709576844662605
156,3178,2001,610142134.0,10597.0,10744.0,0.0,56789.10405807893,0.0,0.0,11107.111111111111,0.0,0.0,0.0,0.009713564017860086
157,3179,2001,109040049.0,2024.0,2058.0,0.0,52983.50291545189,0.0,0.0,2091.222222222222,0.0,0.0,0.0,0.009004563416763742
158,3180,2001,128021966.0,2080.0,2122.0,0.0,60330.80395852969,0.0,0.0,2586.9444444444443,0.0,0.0,0.0,0.0103733986311609
159,3181,2001,420533376.0,4258.0,8519.0,0.0,49364.17138161756,0.0,0.0,4400.888888888889,0.0,0.0,0.0,0.008330265681167601
160,3182,2001,499336652.0,2536.0,11444.0,0.0,43633.05242922055,0.0,0.0,2586.777777777778,0.0,0.0,0.0,0.007262532455872437
161,3183,2001,307985261.0,2935.0,8907.0,0.0,34577.88941282138,0.0,0.0,3116.6111111111113,0.0,0.0,0.0,0.005575514878086937
162,3184,2001,366077752.0,2509.0,7617.0,0.0,48060.621241958775,0.0,0.0,2415.722222222222,0.0,0.0,0.0,0.008087408429989854
163,3185,2001,287560837.0,3419.0,5451.0,0.0,52753.77673821317,0.0,0.0,3344.222222222222,0.0,0.0,0.0,0.008961764397201387
164,3186,2001,922044122.0,6946.0,8447.0,0.0,109156.40132591451,0.0,0.0,7270.222222222223,0.0,0.0,0.0,0.019469826918037877
165,3187,2001,372680624.0,5277.0,6231.0,0.0,59810.72444230461,0.0,0.0,5564.277777777777,0.0,0.0,0.0,0.010276505479250889
166,3188,2001,360407781.0,4784.0,6576.0,0.0,54806.536040145984,0.0,0.0,5628.555555555556,0.0,0.0,0.0,0.00934420268340912
167,3189,2001,131770086.0,1792.0,1998.0,0.0,65950.993993994,0.0,0.0,2025.111111111111,0.0,0.0,0.0,0.01142046530054633
168,3190,2001,157066508.0,2817.0,4072.0,0.0,38572.32514734774,0.0,0.0,3628.1666666666665,0.0,0.0,0.0,0.006319696212567228
169,3191,2001,245056475.0,3000.0,3443.0,0.0,71175.2759221609,0.0,0.0,3100.8333333333335,0.0,0.0,0.0,0.012393772509722276
170,3192,2001,360933057.0,6913.0,8394.0,0.0,42998.9345961401,0.0,0.0,7316.888888888889,0.0,0.0,0.0,0.007144393452868671
171,3193,2001,522455807.0,6483.0,7394.0,0.0,70659.4275087909,0.0,0.0,7047.333333333333,0.0,0.0,0.0,0.01229766763129525
172,3194,2001,314711763.0,3577.0,5099.0,0.0,61720.29084134144,0.0,0.0,3935.777777777778,0.0,0.0,0.0,0.010632266283919951
173,3195,2001,477535050.0,9287.0,11571.0,0.0,41269.98962924553,0.0,0.0,11061.277777777777,0.0,0.0,0.0,0.006822283232998243
174,3196,2001,337404884.0,8011.0,9504.0,0.0,35501.35563973064,0.0,0.0,8417.555555555555,0.0,0.0,0.0,0.0057475607876377385
175,3197,2001,226978771.0,4271.0,4513.0,0.0,50294.43186350543,0.0,0.0,4420.777777777777,0.0,0.0,0.0,0.00850357739096475
176,3198,2001,228004214.0,6023.0,7209.0,0.0,31627.717297822168,0.0,0.0,6496.333333333333,0.0,0.0,0.0,0.005025884550451442
177,3199,2001,824598494.0,19936.0,22007.0,0.0,37469.82750942882,0.0,0.0,20872.055555555555,0.0,0.0,0.0,0.006114295946302796
178,3200,2001,62889082.0,2459.0,2426.0,0.0,25922.952184666115,0.0,0.0,2428.8333333333335,0.0,0.0,0.0,0.003963061163881555
179,3201,2001,228375728.0,5094.0,5456.0,0.0,41857.72140762463,0.0,0.0,6673.555555555556,0.0,0.0,0.0,0.006931780305480871
180,3202,2001,25331044.0,836.0,921.0,0.0,27503.84799131379,0.0,0.0,873.6111111111111,0.0,0.0,0.0,0.004257589159637347
181,3204,2001,493878070.0,8449.0,10610.0,0.0,46548.35721017908,0.0,0.0,9210.333333333334,0.0,0.0,0.0,0.007805666842428725
182,3205,2001,239683098.0,2231.0,4750.0,0.0,50459.59957894737,0.0,0.0,2427.3888888888887,0.0,0.0,0.0,0.00853434887886934
183,3206,2001,359768345.0,3828.0,5023.0,0.0,71624.19769062313,0.0,0.0,3793.722222222222,0.0,0.0,0.0,0.012477408653331702
184,3207,2001,379777538.0,3911.0,6158.0,0.0,61672.2211757064,0.0,0.0,3979.277777777778,0.0,0.0,0.0,0.01062331068911313
185,3211,2001,23449530.0,71.0,78.0,0.0,300635.0,0.0,0.0,367.44444444444446,0.0,0.0,0.0,0.055143150650355535
186,3212,2001,209219856.0,4085.0,4404.0,0.0,47506.77929155313,0.0,0.0,4970.722222222223,0.0,0.0,0.0,0.007984225184811693
