Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n,solar_min_yr,solar_max_yr,solar_pen_cum_n_yr,income_min_yr,income_max_yr,average_income_n_yr
101,3122,2001,661679091.0,4430.0,8832.0,0.0,74918.37533967392,0.0,0.0,4481.5,0.0,0.0,0.0,0.0130911287584509,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04820568262837277
102,3123,2001,343663103.0,3801.0,5926.0,0.0,57992.42372595343,0.0,0.0,3569.722222222222,0.0,0.0,0.0,0.0099377478815545,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0365939354243801
103,3124,2001,607400760.0,6128.0,7546.0,1.0,80493.07712695468,0.00016318537859,1.0,6545.611111111111,0.00016318537859,0.0001527741234584,0.0001136234249319,0.0141297207627056,0.0,0.0352710646636185,0.004331429315089088,4650.995475113122,1462308.6,0.052030107356083634
104,3125,2001,243230620.0,4387.0,4352.0,0.0,55889.38878676471,0.0,0.0,4675.444444444444,0.0,0.0,0.0,0.0095459430181099,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03515118581523977
105,3126,2001,326086886.0,1981.0,2675.0,0.0,121901.63962616822,0.0,0.0,2449.0,0.0,0.0,0.0,0.0218443221100795,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.08043771307272952
106,3127,2001,476925158.0,5247.0,6891.0,0.0,69209.86184878828,0.0,0.0,6053.611111111111,0.0,0.0,0.0,0.0120276070322591,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04428945876814305
107,3128,2001,286925925.0,4675.0,6356.0,1.0,45142.53067967275,0.0002139037433155,1.0,5542.5,0.0002139037433155,0.0001804239963915,0.0001341875963404,0.0075437550398486,0.0,0.0352710646636185,0.005115354416210869,4650.995475113122,1462308.6,0.02777849549775275
108,3129,2001,269619981.0,5494.0,6390.0,0.0,42194.050234741786,0.0,0.0,6079.666666666667,0.0,0.0,0.0,0.0069944398779518,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02575574307922988
109,3130,2001,569858096.0,10271.0,11470.0,0.0,49682.48439407149,0.0,0.0,11091.055555555557,0.0,0.0,0.0,0.008389568826376,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.030893049766399745
110,3131,2001,354342459.0,7597.0,8258.0,0.0,42908.99237103415,0.0,0.0,8077.055555555556,0.0,0.0,0.0,0.0071276368119927,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.026246216379731336
111,3132,2001,270268549.0,5558.0,5900.0,0.0,45808.2286440678,0.0,0.0,5926.777777777777,0.0,0.0,0.0,0.007667777563286,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.028235185712470235
112,3133,2001,473477904.0,7861.0,7796.0,1.0,60733.44073884043,0.0001272102785905,1.0,7858.388888888889,0.0001272102785905,0.0001272525468183,9.464214144051436e-05,0.0104484116734017,0.0,0.0352710646636185,0.003607845355163289,4650.995475113122,1462308.6,0.03847436125578131
113,3134,2001,593432695.0,9732.0,11241.0,0.0,52791.80633395605,0.0,0.0,11289.333333333334,0.0,0.0,0.0,0.0089688494818517,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.033026144623677985
114,3135,2001,322443421.0,6178.0,7128.0,0.0,45236.17017396184,0.0,0.0,7215.166666666667,0.0,0.0,0.0,0.0075612004985946,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.027842735202604153
115,3136,2001,680731308.0,12375.0,15060.0,0.0,45201.28207171315,0.0,0.0,15407.888888888889,0.0,0.0,0.0,0.0075547006883049,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02781880084233986
116,3137,2001,215586441.0,5010.0,4546.0,0.0,47423.32622085349,0.0,0.0,4933.611111111111,0.0,0.0,0.0,0.0079686775025738,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.029343194597253652
117,3138,2001,331619135.0,6373.0,6471.0,0.0,51246.96878380467,0.0,0.0,7336.777777777777,0.0,0.0,0.0,0.0086810393013825,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03196633637697048
