,"DETAILED TABLE 2.6b: Selected items, by taxable status, state/territory1 and postcode, 2010-11 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Non-taxable individuals,,,,,,,,Taxable individuals,,,,,,,,All individuals,,,,,,,
2,Postcode,State/Territory1,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax
3,,,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$
1631,4518,QLD,875,95,-241549,840,9052931,765,8827224,0,1875,280,-923340,1875,103806551,1875,98051462,18116493,2750,375,-1164889,2715,112859482,2640,106878686,18116493
1632,4519,QLD,1350,125,-322728,1275,14015472,1165,14062413,0,2815,360,-1798359,2815,150256884,2815,141920416,25541787,4170,485,-2121087,4090,164272356,3980,155982829,25541787
1633,4520,QLD,2045,310,-1145439,1995,20631604,1835,19669545,0,5685,1170,-8247600,5685,476387801,5685,454282576,115161911,7730,1475,-9393039,7680,497019405,7520,473952121,115161911
1634,4521,QLD,720,100,-46311,700,6491029,625,7165831,0,1805,265,-1838165,1805,115264751,1805,109529114,22646697,2520,365,-1884476,2500,121755780,2425,116694945,22646697
1635,4550,QLD,725,75,-186948,680,7762290,635,7518152,0,1620,195,-936395,1620,85166863,1620,80720998,14493388,2345,270,-1123343,2300,92929153,2255,88239150,14493388
1636,4551,QLD,8990,1010,-4322908,8670,100566573,8200,97931283,0,18660,2815,-13025366,18660,1062147299,18660,1003610639,191730482,27650,3825,-17348274,27330,1162713872,26860,1101541922,191730482
1637,4552,QLD,2010,260,-66302,1950,23815319,1765,22716426,0,2820,500,-719269,2820,161428783,2820,151807354,28322436,4830,755,-785571,4775,185244102,4585,174523780,28322436
1638,4553,QLD,935,115,-608853,905,9164806,840,9069559,0,2180,325,-974171,2180,123448353,2180,116975832,22344277,3115,440,-1583024,3085,132613159,3020,126045391,22344277
1639,4554,QLD,360,55,-108424,340,3706103,315,3575561,0,710,115,-431180,710,39695258,710,37349809,6936511,1070,170,-539604,1050,43401361,1025,40925370,6936511
1640,4555,QLD,1255,145,-511182,1215,13325801,1120,12863726,0,2680,385,-1509780,2680,152359526,2680,143938791,27521595,3935,530,-2020962,3890,165685327,3795,156802517,27521595
1641,4556,QLD,7280,770,-3981055,7075,79999967,6625,77377946,0,15920,2380,-13045231,15920,1019815370,15920,964455705,206277773,23195,3150,-17026286,22995,1099815337,22545,1041833651,206277773
1642,4557,QLD,2805,415,-2206878,2740,30865986,2510,29834061,0,6675,1045,-6202335,6675,388131171,6675,365262273,72363971,9480,1460,-8409213,9415,418997157,9180,395096334,72363971
1643,4558,QLD,3325,440,-1424387,3210,38868689,3010,37507031,0,7615,1120,-5038776,7615,415244933,7615,392475971,73511189,10940,1560,-6463163,10825,454113622,10625,429983002,73511189
1644,4559,QLD,1055,145,-601652,1010,11009624,920,10319598,0,2280,345,-1530201,2280,133415303,2280,125831841,24941124,3330,490,-2131853,3290,144424927,3200,136151439,24941124
1645,4560,QLD,5000,500,-1523893,4765,53355455,4410,51944068,0,10980,1400,-5693331,10980,595915422,10980,565554604,103839402,15985,1900,-7217224,15745,649270877,15390,617498672,103839402
1646,4561,QLD,1260,175,-542934,1210,13073913,1080,12965587,0,2685,455,-2301162,2685,146105135,2685,138262167,25467932,3945,630,-2844096,3895,159179048,3765,151227754,25467932
1647,4562,QLD,1530,230,-959745,1480,17762345,1320,15242756,0,2780,480,-1488917,2780,165020479,2780,156638135,31726569,4310,710,-2448662,4260,182782824,4100,171880891,31726569
1648,4563,QLD,1650,220,-721391,1600,16540783,1455,16782152,0,3120,485,-885923,3120,186341128,3120,175506162,34611758,4770,705,-1607314,4720,202881911,4575,192288314,34611758
1649,4564,QLD,1890,240,-1363231,1820,22948904,1730,20700032,0,4215,610,-3472805,4215,233131062,4215,220846340,41714763,6105,850,-4836036,6035,256079966,5945,241546372,41714763
1650,4565,QLD,2730,315,-546551,2625,30378874,2465,29608051,0,5080,680,-2384994,5080,260149189,5080,246851050,42331981,7805,995,-2931545,7700,290528063,7545,276459101,42331981
1651,4566,QLD,1735,275,-1255069,1705,19514690,1525,18755179,0,3025,535,-2109421,3025,194894582,3025,182895636,39907516,4760,815,-3364490,4730,214409272,4550,201650815,39907516
1652,4567,QLD,2480,455,-3672563,2415,23488656,2115,23969275,0,4745,840,-4102454,4745,311938699,4745,290152515,63606078,7220,1295,-7775017,7160,335427355,6860,314121790,63606078
1653,4568,QLD,660,70,-79018,635,7334229,575,7198597,0,1355,185,-739607,1355,72981701,1355,69801453,12677928,2015,255,-818625,1990,80315930,1930,77000050,12677928
