Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3324, VIC",303,0,0,14,0,0,0,0,0,0,0,311
"3325, VIC",270,0,0,0,0,0,0,0,0,0,0,265
"3328, VIC",615,0,0,0,0,0,0,0,0,0,0,613
"3329, VIC",126,0,0,0,0,0,0,0,0,0,0,126
"3330, VIC",92,0,7,0,0,0,0,0,0,0,0,101
"3331, VIC",2070,0,5,9,0,0,0,3,5,9,0,2100
"3332, VIC",359,0,0,9,0,0,0,0,0,0,0,374
"3333, VIC",332,0,0,12,0,0,0,0,0,0,3,346
"3334, VIC",256,0,0,0,0,0,0,0,0,0,0,259
"3335, VIC",1931,39,35,9,0,0,0,59,78,4,4,2167
"3337, VIC",11622,285,1692,37,0,0,0,0,3,3,11,13649
"3338, VIC",7944,70,709,74,0,8,3,4,3,3,4,8810
"3340, VIC",7256,106,772,106,0,0,0,12,24,4,10,8282
"3341, VIC",635,0,0,0,0,0,0,0,0,4,0,633
"3342, VIC",1399,0,21,65,0,0,0,7,0,6,3,1499
"3345, VIC",464,0,0,0,0,0,0,0,0,0,0,467
"3350, VIC",21607,577,3112,1095,66,0,0,4,6,7,59,26537
"3351, VIC",3307,0,0,4,0,0,0,7,10,12,6,3338
"3352, VIC",5937,0,11,39,0,0,0,39,77,24,88,6214
"3355, VIC",4836,57,904,311,38,0,0,0,0,0,5,6151
"3356, VIC",5427,16,1757,117,0,0,0,0,0,0,3,7316
"3357, VIC",1363,0,18,21,0,0,0,0,0,3,0,1403
"3360, VIC",412,0,0,0,0,0,0,0,0,0,5,412
"3361, VIC",350,0,0,0,0,0,0,0,0,0,0,350
"3363, VIC",1162,3,75,3,0,6,0,6,0,0,290,1549
"3364, VIC",972,0,0,0,0,0,0,0,0,3,11,985
"3370, VIC",881,0,0,12,0,0,0,16,0,11,0,923
"3371, VIC",535,0,13,5,0,0,0,14,0,22,0,585
"3373, VIC",1095,0,0,26,0,0,0,14,11,0,4,1148
"3374, VIC",188,0,0,0,0,0,0,5,0,0,0,193
"3375, VIC",95,0,0,0,0,0,0,0,0,0,0,94
"3377, VIC",3813,0,152,155,10,0,0,32,26,0,20,4203
"3378, VIC",60,0,0,0,0,0,0,0,0,0,0,60
"3379, VIC",394,0,4,3,0,0,0,0,0,0,0,410
"3380, VIC",2637,0,66,194,0,0,0,16,7,0,7,2932
"3381, VIC",787,0,7,0,0,0,0,41,50,7,0,896
"3384, VIC",280,0,0,0,0,0,0,9,6,5,0,296
"3385, VIC",247,0,0,0,0,0,0,6,3,0,4,258
"3387, VIC",165,0,0,0,0,0,0,0,0,0,0,167
"3388, VIC",266,0,0,3,0,0,0,3,0,0,3,270
"3390, VIC",465,0,5,11,0,0,0,0,0,0,9,488
"3391, VIC",87,0,0,0,0,0,0,0,0,0,0,88
"3392, VIC",296,0,9,0,0,0,0,0,0,0,10,310
"3393, VIC",1267,0,0,49,0,0,0,6,0,0,3,1326
"3395, VIC",203,0,0,7,0,0,0,0,0,0,4,217
"3396, VIC",370,0,0,11,0,0,0,0,3,0,0,387
"3400, VIC",5870,14,563,505,0,0,0,0,0,0,7,6962
"3401, VIC",1797,0,0,3,0,0,0,5,7,14,3,1827
"3407, VIC",189,0,16,0,0,0,0,0,0,0,0,213
"3409, VIC",493,0,0,8,0,0,0,0,0,0,0,503
"3412, VIC",162,0,0,0,0,0,0,0,0,0,0,162
"3413, VIC",130,0,0,0,0,0,0,0,0,0,0,128
"3414, VIC",860,0,6,15,0,0,0,5,0,10,0,893
"3415, VIC",18,0,0,0,0,0,0,0,0,0,0,18
"3418, VIC",1330,0,0,68,0,0,0,7,0,0,4,1415
"3419, VIC",420,0,0,8,0,0,0,0,0,0,7,431
"3420, VIC",156,0,0,0,0,0,0,0,0,0,0,160
"3423, VIC",141,0,143,13,0,0,0,5,0,0,0,301
"3424, VIC",425,0,0,14,0,0,0,7,0,0,8,450
"3427, VIC",1129,7,6,7,0,0,0,0,0,0,0,1149
"3428, VIC",238,0,0,0,0,0,0,0,0,0,0,243
"3429, VIC",12291,126,537,995,0,0,0,5,0,0,4,13963
"3430, VIC",129,0,0,0,0,0,0,0,0,0,0,129
"3431, VIC",1390,0,63,0,0,0,0,0,0,0,0,1456
"3432, VIC",82,0,0,0,0,0,0,0,0,0,0,82
"3433, VIC",72,0,0,0,0,0,0,0,0,0,0,77
"3434, VIC",1803,0,44,79,0,0,0,0,7,3,3,1938
"3435, VIC",1193,0,17,0,0,0,0,0,0,0,0,1209
"3437, VIC",3449,13,430,6,0,0,0,0,0,3,4,3907
"3438, VIC",814,3,28,0,0,0,0,0,0,0,0,845
"3440, VIC",760,0,0,0,0,0,0,14,15,0,0,796
"3441, VIC",618,0,0,0,0,0,0,0,0,0,0,621
"3442, VIC",2982,12,82,9,0,0,0,6,0,5,6,3094
"3444, VIC",3915,6,189,94,0,0,0,5,0,3,46,4252
"3446, VIC",475,0,0,0,0,0,0,3,3,0,7,494
"3447, VIC",241,0,0,0,0,0,0,0,3,0,0,247
"3448, VIC",432,0,0,0,0,0,0,3,0,4,0,438
"3450, VIC",3203,6,272,40,0,0,0,3,12,0,5,3545
"3451, VIC",2330,0,40,3,0,0,0,9,9,6,9,2389
"3453, VIC",715,0,0,0,0,0,0,5,0,0,0,722
"3458, VIC",1155,0,3,4,0,0,0,0,0,9,23,1192
"3460, VIC",1704,24,78,43,0,0,0,6,3,0,5,1861
"3461, VIC",2507,16,18,0,0,0,0,7,9,11,12,2582
"3462, VIC",605,0,12,0,0,0,0,0,0,3,0,623
"3463, VIC",1318,3,9,30,0,0,0,19,6,3,6,1404
"3464, VIC",461,0,16,9,0,0,0,0,0,0,3,495
"3465, VIC",4302,0,369,56,0,0,0,40,11,10,27,4822
"3467, VIC",611,0,0,5,0,0,0,0,0,0,0,626
"3468, VIC",157,0,0,0,0,0,0,0,0,0,0,160
"3469, VIC",154,0,0,0,0,0,0,0,0,0,0,159
