Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3512,251,0,0,4,0,0,0,0,0,5,260
3515,385,0,0,0,0,0,0,31,14,0,436
3516,312,0,0,0,0,0,0,19,0,4,338
3517,729,3,0,5,0,0,0,4,9,0,754
3518,658,5,0,25,0,0,0,27,5,3,726
3520,101,0,0,0,0,0,0,0,0,0,109
3521,291,0,0,0,0,0,0,0,9,0,296
3522,171,0,0,0,0,0,0,0,0,0,174
3523,1727,32,0,7,0,0,14,31,88,13,1902
3525,726,22,0,18,0,0,0,8,3,3,773
3527,388,5,0,13,0,0,3,3,0,7,416
3529,107,0,0,0,0,0,0,0,0,3,108
3530,54,0,0,0,0,0,0,0,0,0,57
3531,162,0,0,0,0,0,0,0,0,0,162
3533,354,6,0,8,0,0,0,0,0,0,373
3537,544,0,0,30,0,0,0,3,0,4,578
3540,207,0,0,0,0,0,0,0,0,0,213
3542,77,0,0,0,0,0,0,0,0,0,77
3544,119,0,0,0,0,0,0,0,0,0,119
3546,200,0,0,8,0,0,0,0,0,3,215
3549,1223,23,0,80,0,0,0,193,15,12,1553
3550,14238,1248,129,1580,0,10,19,38,0,87,17357
3551,6912,182,14,24,0,0,4,116,17,4,7275
3555,6286,287,6,591,0,0,4,133,0,18,7328
3556,3880,257,4,213,0,0,6,6,0,26,4400
3557,305,0,0,3,0,0,0,3,0,0,310
3558,396,3,0,18,0,0,0,13,0,0,432
3559,166,0,0,0,0,0,0,10,0,0,178
3561,2118,0,0,122,0,0,0,27,7,3,2283
3562,129,0,0,0,0,0,0,3,0,4,142
3563,332,11,0,0,0,0,0,0,0,10,350
3564,5042,560,18,414,0,10,0,132,10,21,6213
3566,271,0,0,12,0,0,0,10,0,6,295
3567,219,0,0,9,0,0,0,0,0,0,227
3568,1368,6,0,50,0,0,0,18,3,6,1456
3570,388,0,0,0,0,0,0,9,0,3,402
3571,169,4,0,0,0,0,0,0,0,3,182
3573,201,0,0,0,0,0,0,0,0,0,205
3575,446,5,0,29,0,0,0,10,0,7,494
3579,2463,43,4,134,0,0,0,45,0,0,2693
3580,401,12,0,0,0,0,0,13,0,3,427
3581,107,0,0,0,0,0,0,4,0,0,107
3584,578,0,0,10,0,0,4,17,12,0,618
3586,111,0,0,0,0,0,0,7,0,0,124
3588,118,0,0,0,0,0,3,0,0,0,119
3589,310,0,0,0,0,0,0,16,3,0,329
3590,92,0,0,0,0,0,0,0,0,0,88
3591,196,0,0,8,0,0,0,38,0,0,240
3594,257,0,0,6,0,0,0,16,0,4,283
3595,183,4,0,15,0,0,0,0,13,3,215
3597,249,0,0,0,0,0,0,49,0,3,303
3599,76,0,0,0,0,0,0,24,0,0,97
3608,1210,10,0,87,0,0,0,36,9,15,1374
3610,585,4,3,14,0,0,0,39,3,0,655
3612,949,13,0,11,0,0,0,16,14,0,1005
3614,308,0,0,0,0,0,0,4,3,0,308
3616,1784,84,3,118,0,0,0,33,0,10,2034
3618,308,0,0,0,0,0,0,7,0,0,317
3620,2923,34,0,377,0,0,0,17,0,18,3373
3621,769,3,0,55,0,0,0,12,3,4,849
3622,142,0,0,0,0,0,0,0,0,0,142
3623,412,0,0,22,0,0,0,7,0,9,444
3624,253,3,0,0,0,0,0,0,0,0,259
3629,2952,221,0,371,0,0,0,178,9,3,3733
3630,9400,647,35,1464,3,3,6,70,0,31,11665
3631,2875,19,0,116,0,0,3,91,3,4,3103
3633,217,0,0,0,0,0,0,10,11,0,241
3634,696,0,0,5,0,0,0,3,3,4,714
3635,172,0,0,0,0,0,0,4,7,3,179
3636,2227,12,0,260,0,0,0,27,3,4,2540
3637,269,0,0,0,0,0,0,0,0,0,272
3638,610,44,0,16,0,0,0,15,0,0,684
3639,418,3,0,8,0,0,0,32,13,6,481
3640,308,0,0,0,0,0,0,0,0,0,310
3641,372,3,0,12,0,0,0,12,0,5,397
3646,371,0,0,0,0,0,0,0,0,0,376
3649,215,0,0,0,0,0,0,3,0,0,220
3658,2029,0,0,66,0,0,0,0,0,7,2102
3659,628,0,0,0,0,0,0,3,11,0,652
3660,3146,64,6,267,0,0,0,40,13,6,3537
3662,354,0,17,0,0,0,0,0,0,0,373
3664,352,3,0,0,0,0,0,0,0,0,364
3665,250,0,0,7,0,0,0,0,0,3,263
