Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3630, Vic",10244,647,79,1464,5,3,3,61,16,14,12530
"3631, Vic",3676,8,0,28,0,0,3,108,8,0,3835
"3633, Vic",215,5,0,0,0,0,0,14,0,0,240
"3634, Vic",675,3,0,0,0,0,0,0,3,0,678
"3635, Vic",277,0,0,0,0,0,0,0,3,0,285
"3636, Vic",2120,92,0,194,0,0,0,22,3,9,2436
"3637, Vic",271,0,0,0,0,0,0,7,0,0,282
"3638, Vic",854,4,0,58,0,0,0,30,8,7,959
"3639, Vic",268,10,3,9,0,0,0,14,0,0,298
"3640, Vic",446,0,0,0,0,0,0,0,0,0,445
"3641, Vic",500,0,0,13,0,0,0,5,0,3,527
"3646, Vic",366,0,0,0,0,0,0,0,0,0,367
"3649, Vic",174,0,0,0,0,0,0,9,0,3,185
"3658, Vic",2352,69,5,28,0,0,0,12,26,6,2498
"3659, Vic",363,0,0,0,0,0,0,3,0,3,376
"3660, Vic",3082,85,8,214,0,0,3,36,5,8,3452
"3662, Vic",272,0,25,0,0,0,0,0,0,0,294
"3663, Vic",21,0,0,0,0,0,0,0,0,72,87
"3664, Vic",483,3,0,0,0,0,0,0,0,0,488
"3666, Vic",2394,12,3,166,0,0,0,27,12,13,2625
"3669, Vic",525,0,0,4,0,0,0,3,0,0,534
"3670, Vic",324,0,0,7,0,0,0,0,4,0,339
"3672, Vic",4213,368,0,340,0,0,6,35,3,30,4993
"3673, Vic",741,0,0,0,0,0,0,0,3,0,748
"3675, Vic",618,0,0,0,0,0,4,8,9,3,635
"3677, Vic",6616,404,17,882,0,0,0,56,3,39,8017
"3678, Vic",2682,13,3,18,0,0,0,35,13,8,2769
"3682, Vic",273,0,0,0,0,0,0,5,0,0,277
"3683, Vic",699,15,3,4,0,0,0,29,3,12,766
"3685, Vic",993,59,3,68,0,0,0,3,0,10,1140
"3687, Vic",363,38,0,0,0,0,0,0,0,4,403
"3688, Vic",483,0,0,0,0,0,0,0,0,0,486
"3690, Vic",10524,1132,57,1359,0,0,11,64,17,13,13171
"3691, Vic",2959,19,3,11,0,0,3,14,3,8,3019
"3694, Vic",146,0,0,7,0,0,0,0,0,0,154
"3695, Vic",179,5,0,0,0,0,0,0,0,0,187
"3697, Vic",284,0,0,0,0,0,0,5,0,6,302
"3698, Vic",491,7,0,14,0,0,0,11,5,9,545
"3699, Vic",541,47,31,60,16,45,3,0,0,4,746
"3700, Vic",512,37,0,0,0,0,0,13,0,3,565
"3701, Vic",612,0,0,0,0,0,0,0,0,0,617
"3705, Vic",238,0,0,0,0,0,0,3,0,0,244
"3707, Vic",837,3,0,16,0,0,0,4,0,11,878
"3709, Vic",177,0,0,5,0,0,0,4,0,0,184
"3711, Vic",156,0,0,0,0,0,0,3,0,0,162
"3712, Vic",207,0,0,6,0,0,0,14,0,0,227
"3713, Vic",809,3,0,23,0,0,0,44,0,3,877
"3714, Vic",1625,52,0,20,0,0,0,33,25,11,1760
"3715, Vic",267,0,0,0,0,0,0,0,0,0,273
"3717, Vic",1394,23,0,10,0,0,0,57,12,11,1503
"3719, Vic",308,0,0,0,0,0,0,3,0,0,312
"3720, Vic",582,3,24,0,0,0,0,7,9,0,620
"3722, Vic",1930,214,0,59,0,0,0,26,5,8,2241
"3723, Vic",2329,17,46,108,139,223,0,18,15,6,2900
"3725, Vic",146,0,0,0,0,0,0,0,0,0,147
"3726, Vic",413,0,0,0,0,0,0,7,3,3,426
"3727, Vic",164,0,0,0,0,0,0,0,0,3,172
"3728, Vic",300,0,0,0,0,0,0,0,0,0,296
"3730, Vic",3229,251,39,378,0,0,0,92,5,0,3994
"3732, Vic",196,0,0,8,0,0,0,7,0,0,214
"3733, Vic",212,8,0,0,0,0,0,0,5,0,232
"3735, Vic",252,0,0,0,0,0,0,0,0,0,252
"3737, Vic",1851,42,4,88,0,0,0,17,5,5,2014
"3739, Vic",187,0,0,0,0,0,0,0,0,0,191
"3740, Vic",462,20,0,14,0,0,0,9,3,0,505
"3741, Vic",1606,132,52,209,127,223,12,23,0,14,2406
"3744, Vic",181,0,0,0,0,0,0,0,0,0,183
"3746, Vic",125,0,0,0,0,0,0,3,0,0,131
"3747, Vic",1785,37,0,81,0,0,5,10,15,0,1938
"3749, Vic",669,5,3,35,0,0,3,9,4,13,733
"3750, Vic",205,0,0,0,0,0,0,0,0,0,205
"3751, Vic",136,0,0,0,0,0,0,0,0,0,137
"3752, Vic",5825,503,471,147,0,0,0,0,0,0,6948
"3753, Vic",311,0,0,0,0,0,0,0,0,0,318
"3754, Vic",6384,23,120,15,0,3,3,0,0,3,6547
"3755, Vic",114,0,0,0,0,0,0,0,0,0,116
"3756, Vic",2965,208,11,120,0,0,0,8,0,0,3321
"3757, Vic",2739,134,11,31,0,0,0,17,29,3,2965
"3758, Vic",730,0,0,0,0,0,4,20,0,0,749
"3759, Vic",395,0,0,0,0,0,0,3,0,3,403
"3760, Vic",143,0,0,0,0,0,0,0,0,0,143
"3761, Vic",413,0,0,0,0,0,0,0,0,0,417
"3763, Vic",507,4,0,0,0,0,0,8,4,0,519
"3764, Vic",2574,121,11,168,0,0,7,60,11,5,2949
"3765, Vic",2272,160,0,11,0,0,3,0,0,0,2449
"3766, Vic",528,0,0,0,0,0,0,0,0,0,531
"3767, Vic",527,4,0,3,0,0,3,0,0,0,540
"3770, Vic",1148,11,0,0,0,0,0,3,0,0,1167
"3775, Vic",1352,17,12,18,0,0,0,4,9,0,1414
"3777, Vic",4073,60,9,224,0,12,15,50,6,5,4453
"3778, Vic",270,0,0,3,0,0,0,3,5,0,286
"3779, Vic",142,14,0,0,0,0,0,19,14,3,186
"3781, Vic",1605,0,0,3,0,0,0,0,0,5,1618
"3782, Vic",2842,22,0,36,0,0,3,12,3,3,2917
"3783, Vic",807,5,0,0,0,0,0,4,0,0,812
"3785, Vic",0,0,0,0,0,0,0,0,0,0,0
"3786, Vic",632,0,0,3,0,0,3,3,0,0,637
"3787, Vic",448,6,3,0,0,0,0,0,0,0,458
"3788, Vic",731,0,3,15,0,0,0,0,0,3,758
"3789, Vic",121,3,0,6,0,0,0,0,0,0,130
"3791, Vic",619,9,0,7,0,0,0,0,0,3,641
"3792, Vic",402,0,0,0,0,0,9,0,0,0,409
"3793, Vic",1308,32,0,14,0,0,0,0,0,0,1360
"3795, Vic",463,3,0,10,0,0,0,0,0,0,470
"3796, Vic",3224,63,29,34,0,0,8,0,0,3,3361
"3797, Vic",1203,56,0,25,0,0,0,46,3,0,1335
"3799, Vic",2814,13,3,25,0,0,8,82,10,14,2962
"3800, Vic",0,0,0,0,0,0,0,0,0,0,0
"3802, Vic",7987,168,132,48,0,0,0,0,0,0,8339
"3803, Vic",2973,55,191,273,0,0,0,0,0,3,3502
"3804, Vic",1949,18,0,0,0,0,0,0,0,0,1966
"3805, Vic",16578,643,209,318,0,0,3,105,3,0,17857
"3806, Vic",14253,837,379,750,0,0,0,3,0,3,16234
"3807, Vic",2022,151,11,19,0,0,0,82,0,0,2291
"3808, Vic",978,0,0,0,0,0,3,8,0,0,990
"3809, Vic",674,0,42,3,0,0,0,0,0,0,725
"3810, Vic",12024,765,148,724,0,0,3,56,3,3,13733
"3812, Vic",813,7,0,11,0,0,0,0,0,0,838
"3813, Vic",376,3,0,0,0,0,0,0,0,0,385
"3814, Vic",704,20,0,8,0,0,0,0,0,0,736
"3815, Vic",1022,0,0,71,0,0,0,7,3,6,1102
"3816, Vic",753,32,0,11,0,0,0,16,0,0,805
"3818, Vic",4298,463,0,189,0,0,4,77,3,6,5048
"3820, Vic",5207,439,16,346,0,0,7,57,0,6,6076
"3821, Vic",1021,27,3,0,0,0,0,12,0,0,1070
"3822, Vic",400,0,0,3,0,0,0,0,0,0,408
"3823, Vic",772,6,0,0,0,0,0,0,6,0,784
"3824, Vic",1887,123,0,43,0,0,0,0,0,4,2061
"3825, Vic",7749,704,11,1152,0,0,4,44,3,5,9680
"3831, Vic",620,4,3,21,0,0,0,8,3,3,657
"3832, Vic",195,0,0,0,0,0,0,0,0,0,195
"3833, Vic",284,0,0,0,0,0,0,12,8,3,311
"3835, Vic",235,0,0,0,0,0,0,0,0,0,235
"3840, Vic",6605,239,17,835,7,0,4,15,6,15,7736
"3842, Vic",1927,0,19,55,0,0,0,0,0,0,2001
"3844, Vic",10325,152,33,1199,12,0,9,209,9,5,11957
"3847, Vic",904,0,3,24,0,0,0,14,4,3,944
"3850, Vic",5345,573,40,363,43,0,0,47,7,15,6434
"3851, Vic",3507,89,140,5,0,0,0,26,0,3,3762
"3852, Vic",22,0,0,0,0,0,0,0,0,0,22
"3854, Vic",548,0,0,8,0,0,0,0,0,0,559
"3856, Vic",360,0,0,0,0,0,0,0,0,0,364
"3857, Vic",147,0,0,0,0,0,0,0,0,0,157
"3858, Vic",1296,16,0,49,0,0,0,14,7,3,1378
"3859, Vic",365,0,0,0,0,0,0,0,0,0,369
"3860, Vic",3109,18,0,136,0,0,0,3,3,11,3278
"3862, Vic",1368,0,0,27,0,0,0,44,7,11,1459
"3864, Vic",170,0,0,0,0,0,0,3,5,0,182
"3865, Vic",177,0,0,0,0,0,0,0,0,0,177
"3869, Vic",578,0,0,15,0,0,0,3,3,0,610
"3870, Vic",683,0,0,12,0,0,0,22,4,0,732
"3871, Vic",1179,23,0,18,0,0,0,3,5,5,1235
"3873, Vic",197,0,0,0,0,0,0,3,0,0,200
"3874, Vic",368,5,0,0,0,0,0,6,0,0,387
"3875, Vic",6673,182,4,723,0,0,3,90,19,10,7705
"3878, Vic",368,3,3,9,0,0,0,3,0,0,390
"3880, Vic",2011,169,17,200,0,0,0,68,0,0,2469
"3882, Vic",411,0,0,7,0,0,0,30,0,0,444
"3885, Vic",802,3,0,15,0,0,0,10,0,10,839
"3886, Vic",181,3,0,3,0,0,0,0,0,0,189
"3887, Vic",151,0,0,0,0,0,0,8,0,0,163
"3888, Vic",1931,50,3,20,0,0,0,17,4,0,2028
"3889, Vic",278,0,0,0,0,0,0,6,4,0,291
"3890, Vic",107,0,0,13,0,0,0,0,0,4,126
"3891, Vic",141,0,0,0,0,0,0,10,0,0,149
"3892, Vic",557,0,0,190,0,0,0,31,0,10,782
"3895, Vic",133,0,0,0,0,0,0,3,0,0,133
"3896, Vic",251,4,0,3,0,0,0,11,0,0,266
"3898, Vic",582,8,13,35,0,0,0,17,0,10,675
"3900, Vic",207,3,0,0,0,0,0,7,0,0,222
"3902, Vic",158,0,0,0,0,0,0,35,0,0,186
"3903, Vic",262,0,0,0,0,0,0,58,5,0,328
"3904, Vic",868,8,0,9,0,0,0,0,0,3,897
"3909, Vic",3482,335,30,289,0,0,0,162,0,20,4325
"3910, Vic",6954,468,42,487,5,12,9,116,0,0,8101
"3911, Vic",1223,4,0,38,0,0,0,0,0,0,1258
"3912, Vic",4775,402,11,214,0,0,6,48,3,4,5457
"3913, Vic",1157,43,9,38,0,0,0,0,0,4,1256
"3915, Vic",2903,695,48,103,0,0,4,180,0,3,3944
"3916, Vic",537,0,0,0,0,0,0,0,0,0,537
"3918, Vic",1202,22,0,72,0,0,3,0,0,0,1298
"3919, Vic",1055,14,0,152,0,0,0,0,0,0,1222
"3920, Vic",101,0,9,4,0,0,0,0,0,0,119
"3921, Vic",77,0,0,0,0,0,0,3,11,0,98
"3922, Vic",7257,225,216,251,70,29,6,31,3,4,8092
"3923, Vic",537,0,5,12,9,0,0,3,0,3,566
"3925, Vic",2509,42,40,50,75,0,0,34,0,13,2765
"3926, Vic",1834,25,0,10,0,0,0,3,3,0,1872
"3927, Vic",1090,0,0,0,0,0,0,3,0,0,1099
"3928, Vic",294,0,0,0,0,0,0,0,0,0,294
"3929, Vic",898,0,3,0,0,0,0,4,0,8,917
"3930, Vic",6051,313,40,191,0,0,0,0,0,0,6598
"3931, Vic",7334,1522,477,946,68,0,5,126,3,6,10499
"3933, Vic",372,4,0,0,0,0,0,0,0,0,382
"3934, Vic",6803,454,124,160,0,0,0,0,0,0,7540
"3936, Vic",5799,281,156,604,8,50,4,41,0,6,6951
"3937, Vic",1147,0,0,0,0,0,0,0,0,3,1151
"3938, Vic",1706,66,33,15,10,0,0,0,0,0,1833
"3939, Vic",7474,498,80,459,0,0,7,44,4,15,8580
"3940, Vic",2182,805,34,161,5,0,3,62,0,7,3261
"3941, Vic",10882,173,146,211,0,0,3,41,7,20,11477
"3942, Vic",3313,0,9,15,0,0,0,0,0,0,3339
"3943, Vic",2626,111,43,86,38,0,5,0,0,0,2911
"3944, Vic",1282,12,30,6,0,0,0,0,0,0,1331
"3945, Vic",453,4,0,0,0,0,0,0,0,3,462
"3950, Vic",1890,55,0,107,0,0,0,25,0,5,2092
"3951, Vic",444,0,0,0,0,0,0,0,0,0,444
"3953, Vic",2994,193,0,61,0,0,0,15,0,4,3267
"3954, Vic",152,0,0,0,0,0,0,0,0,0,158
"3956, Vic",2590,49,34,4,0,0,3,17,8,0,2700
"3957, Vic",239,0,0,0,0,0,0,4,0,0,240
"3958, Vic",222,0,0,0,0,0,0,0,3,0,224
"3959, Vic",1051,0,5,4,0,0,0,9,3,4,1078
"3960, Vic",1177,0,0,104,0,0,0,24,7,7,1314
"3962, Vic",642,7,0,0,0,0,0,6,0,0,656
"3965, Vic",202,5,0,4,0,0,0,0,0,3,212
"3966, Vic",379,0,0,0,0,0,0,4,3,7,385
"3971, Vic",2056,19,6,73,0,0,3,29,6,8,2193
"3975, Vic",3660,11,68,28,0,0,0,0,0,0,3768
"3976, Vic",6821,714,93,158,0,88,3,0,0,3,7873
"3977, Vic",22458,498,85,1449,17,14,19,3,3,10,24553
"3978, Vic",450,3,0,0,0,0,0,3,3,0,462
"3979, Vic",333,0,0,0,0,0,0,0,8,0,340
"3980, Vic",1187,0,0,4,0,0,0,36,0,0,1222
"3981, Vic",1531,45,0,0,21,46,3,3,0,16,1671
"3984, Vic",2870,33,10,25,0,0,11,45,5,5,2997
"3987, Vic",501,0,0,0,0,0,0,3,0,0,505
"3988, Vic",373,0,0,0,0,0,0,0,0,3,379
"3991, Vic",209,0,0,0,0,0,0,13,0,0,219
"3992, Vic",308,0,0,6,0,0,0,0,0,0,313
"3995, Vic",4560,293,36,342,0,0,0,43,4,3,5282
"3996, Vic",3729,61,86,200,0,0,0,36,3,0,4118
